blind_id,case_id,sample_id,split,quarter,percentile_bucket,industry_group,history_presence,evidence_sufficiency,method_id_placeholder,evaluation(yes表示易懂，no表示需要修改)
BLIND-00011,BENCH-03528,da4a83183724c5461d92,train,2019Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00012,BENCH-00193,deacf3c9ae4ad4e8bf90,train,2015Q3,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00013,BENCH-00732,5f1c89bf577ca760402e,train,2017Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00014,BENCH-02432,ba2b1343e83bb83afb16,train,2018Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00015,BENCH-03683,1a9ff8223febad6db658,train,2021Q3,top25,G1,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00016,BENCH-03799,bc9b110488565ad0484b,train,2016Q3,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00017,BENCH-00577,426c1ae7b7f7776ffa65,validation,2022Q4,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00018,BENCH-00822,ba583029aee44a0d579f,train,2015Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00019,BENCH-02352,1a8b8e30186e44845146,validation,2023Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00020,BENCH-05153,bb6511f5f0204c63f555,validation,2022Q1,top25,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00021,BENCH-04339,92601f1690ccf5f1b47d,train,2017Q3,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00022,BENCH-03279,773b43ef75e673b9a73c,train,2017Q2,high,G2,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00023,BENCH-00252,138b39c8662c0d30166c,train,2017Q2,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00024,BENCH-02384,d8118a10791ed224ec5f,train,2015Q1,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00025,BENCH-00479,e5ab8fe66f374be93645,train,2018Q1,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00026,BENCH-04414,24052c7bd17513aa2739,train,2015Q4,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00027,BENCH-01639,32fd977cec1f5225d150,train,2021Q1,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00028,BENCH-01788,1ea0606508b1483ac4b1,train,2018Q3,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00029,BENCH-00622,10d51b1ec3cc8f0b68a5,train,2017Q2,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00030,BENCH-01272,0476c1a8e2db21e20448,train,2017Q4,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00031,BENCH-01217,2c474e69274164b31590,train,2017Q3,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00032,BENCH-04465,afe87111819b84794144,train,2019Q4,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00033,BENCH-00034,1f3cac21366ee15a11cb,train,2017Q2,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00034,BENCH-02708,d3d4c2843463993a63f6,train,2019Q3,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00035,BENCH-01074,176222d93f71d5e56d66,validation,2023Q1,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00036,BENCH-03970,dd61bb99456eca9b411f,validation,2022Q3,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00037,BENCH-00629,beca6e6cf2da477f5917,validation,2022Q4,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00038,BENCH-01694,364692c0fe9ecc740035,validation,2022Q4,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00039,BENCH-03867,64482bae453daa4114f7,train,2019Q4,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00040,BENCH-04137,77bb3ddd720712810749,validation,2022Q4,high,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00041,BENCH-02056,6aaa2c43a3f1f5d9fcf4,train,2016Q1,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00042,BENCH-02016,e12db0c0e873f2c4ce69,train,2019Q1,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00043,BENCH-03879,4543af280ee8b7a9bf06,train,2020Q1,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00044,BENCH-05113,445e2c02848dbc953500,validation,2022Q1,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00045,BENCH-04159,9b8b63a687a7f87b3b2b,train,2019Q2,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00046,BENCH-01678,a15856d96b9209d172c7,train,2019Q3,mid,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00047,BENCH-03685,494c4de14698e2666142,train,2015Q4,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00048,BENCH-03910,e232b4fbdd7db419978a,train,2015Q2,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00049,BENCH-04495,88b91f50e9f41e4cbf40,train,2018Q1,mid,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00050,BENCH-00523,47b4c867787bd0a98779,train,2018Q1,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00051,BENCH-04911,9929f4cd214d28f86fed,train,2019Q2,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00052,BENCH-01553,6b94e2059bc2e919736c,train,2018Q3,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00053,BENCH-03051,d01c72cae75516c1f0f6,train,2015Q3,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00054,BENCH-00753,0fecf6d40ed79293bb8e,train,2018Q2,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00055,BENCH-00093,59e81145a1b7333f989e,validation,2022Q3,mid,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00056,BENCH-04859,12a353474cb1577604e3,train,2019Q3,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00057,BENCH-03688,3a2a103cbc08ff2735d6,train,2017Q1,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00058,BENCH-04818,3218845d8eda54dbf502,validation,2022Q1,mid,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00059,BENCH-00670,a6eb32366946b048746f,train,2017Q1,mid,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00060,BENCH-04607,d69b8fcc8bee8b7c482b,train,2021Q3,mid,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00061,BENCH-01249,881b2059ffed4291854a,train,2017Q3,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00062,BENCH-01216,9a7db9ac85990e69419d,train,2016Q4,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00063,BENCH-02659,e4d1d31c9c4f280d60f3,train,2019Q1,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00064,BENCH-00378,2b3779a850ff299da2b6,train,2018Q4,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00065,BENCH-02642,85f4119d13d61a63772d,train,2021Q3,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00066,BENCH-00941,d24f860dd106371f9b08,train,2015Q3,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00067,BENCH-00322,36a192d66ff440bf3d15,train,2017Q3,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00068,BENCH-03119,d4469158b3900a075980,train,2018Q2,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00069,BENCH-04601,7839c33919bd13030d8e,train,2016Q4,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00070,BENCH-02860,f4d4d8069e5dbc064fe0,train,2018Q1,low,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00071,BENCH-02808,57ca33f6586ed58d8269,train,2017Q1,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00072,BENCH-04606,2dfb519c3f9752d2421b,train,2021Q1,low,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00073,BENCH-00246,93e0f54ef0b156ea10b7,train,2018Q2,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00074,BENCH-00885,96107680e037f9d2e81e,train,2017Q4,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00075,BENCH-00801,bdda571475f6bbad182c,validation,2023Q1,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00076,BENCH-01636,27b9e28684a2c9ea009e,train,2017Q4,low,G1,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00077,BENCH-02356,2bba6847db6b22f2b257,train,2019Q2,low,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00078,BENCH-04565,92cb0d1b3a181d1e2fb7,train,2021Q2,low,G3,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00079,BENCH-03694,4645689597587d6d140c,validation,2022Q3,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00080,BENCH-00584,ce9ee028378c4a98fac3,train,2015Q1,low,G4,yes,sufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00081,BENCH-02215,78b5eb0fceb5f574c1c6,validation,2022Q3,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00082,BENCH-01673,9bc8f75fc4d9dabe3fe8,train,2015Q3,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00083,BENCH-03614,ab13264ae4034ec0a7a6,validation,2022Q1,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00084,BENCH-05162,d31c2e4256004b0b2423,train,2016Q2,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00085,BENCH-04381,07ff28bb15a63947f2fb,train,2020Q3,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00086,BENCH-00940,8ca276454db272d2d264,train,2017Q3,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00087,BENCH-03848,337d463a4f51c748f7c8,train,2018Q4,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00088,BENCH-04746,1e7bcb88ad1f4439ea1c,train,2016Q1,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00089,BENCH-03662,45566889cc6e172befc0,train,2015Q2,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00090,BENCH-04880,fa541ed35a51cd6c4c2f,train,2018Q3,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00091,BENCH-00377,683a98c372ba36acd099,train,2018Q1,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00092,BENCH-01072,6d07b8e27fbb5316c226,train,2021Q3,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00093,BENCH-02833,4848b47a7a935cd8d562,train,2021Q3,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00094,BENCH-02265,fa6186c2d38e8e5273a9,train,2015Q4,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00095,BENCH-02408,1ea8ef2460b7783dac21,train,2019Q4,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00096,BENCH-01773,58abc9e1be45214f6ed9,train,2017Q1,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00097,BENCH-02486,c474f9f468a4437ac25b,train,2016Q4,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00098,BENCH-02882,3348a46f3fa48983214f,train,2015Q2,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00099,BENCH-04316,21b6ece68723fa8e1afd,train,2016Q1,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
BLIND-00100,BENCH-01646,59b14891c525e8d41ca7,train,2017Q4,info_missing,OTHER,no,insufficient,"method_placeholder(隐藏:B0-B5之一,盲评时不可见)",yes
