field,中文名,group,业务含义,来源,公式,窗口,缺失处理,可用时间,数值增大含义,禁止解释,能否交给模型,能否交给智能模块,画像版本
positives_365d,365天内成熟阳性数,Dynamic,截点前365天内的成熟阳性历史检查数。,"historical_inspection_outcomes.open_date, outcome_positive, outcome_available_time","Σ 1{t-365天 ≤ open_date_j < t, j∈H_i(t), y_j=1}。","[cutoff-365天, cutoff)。",无符合记录时为0；未成熟记录不得当作阴性。,窗口内且阳性结果可用时间严格早于cutoff。,近365天内成熟历史citation检查更多。,不得解释为当前必然违章或因果风险。,是（M2使用；M1不使用）,是（白名单已含）,v1.0
positives_730d,730天内成熟阳性数,Dynamic,截点前730天内的成熟阳性历史检查数。,"historical_inspection_outcomes.open_date, outcome_positive, outcome_available_time","Σ 1{t-730天 ≤ open_date_j < t, j∈H_i(t), y_j=1}。","[cutoff-730天, cutoff)。",无符合记录时为0；未成熟记录不得当作阴性。,窗口内且阳性结果可用时间严格早于cutoff。,近730天内成熟历史citation检查更多。,不得解释为当前必然违章或因果风险。,是（M2使用；M1不使用）,是（白名单已含）,v1.0
decayed_inspections,时间衰减检查量,Dynamic,对全部成熟历史检查按距截点时间进行指数衰减加权（半衰期365天）。,"historical_inspection_outcomes.open_date, outcome_available_time; config.rules.decay_half_life_days",Σ_{j∈H_i(t)} exp[-ln(2)·(t-open_date_j)/365]。,截点前全部成熟历史；半衰期365天由config预先固定。,无成熟历史时为0。,open_date与outcome_available_time均严格早于cutoff。,成熟历史检查更多或时间上更近。,不得解释为绝对风险、执法强度因果或真实安全等级。,是（M2使用；M1不使用）,是（白名单已含）,v1.0
decayed_positives,时间衰减阳性量,Dynamic,对全部成熟阳性历史检查按距截点时间进行指数衰减加权（半衰期365天）。,"historical_inspection_outcomes.open_date, outcome_positive, outcome_available_time; config.rules.decay_half_life_days","Σ_{j∈H_i(t), y_j=1} exp[-ln(2)·(t-open_date_j)/365]。",截点前全部成熟阳性历史；半衰期365天由config预先固定。,无成熟阳性历史时为0；未成熟记录不得当作阴性。,阳性结果的open_date与outcome_available_time均严格早于cutoff。,成熟历史citation检查更多或时间上更近。,不得解释为当前必然违章、事故概率或因果效应。,是（M2使用；M1不使用）,是（白名单已含）,v1.0
historical_standard_codes,历史OSHA标准编号列表,历史风险构成,截点前所有成熟历史检查中签发的OSHA标准编号（standard）的集合。,"violation_clean.standard, violation_clean.activity_nr, inspection_clean.outcome_available_time",从 H_i(t) 中匹配的所有 violation 记录中提取 standard，去重后排序。,截点前全部成熟检查对应的违章记录。,无任何历史违章记录时返回空列表 []。,violation相关检查的outcome_available_time严格早于cutoff；仅限直接关联的citation。,列表长度增大表示历史涉及的标准种类更多。,不得解释为当前现场必然存在该标准对应的危险。,否（不作为M1/M2输入特征）,是（供Retrieval Agent使用）,v1.0
historical_risk_categories,历史风险类别列表,历史风险构成,由 historical_standard_codes 经 R1-R9 分类表映射得到的风险类别集合。,"historical_standard_codes, 学生2提供的R1-R9分类表（standard_to_category_mapping）",将 historical_standard_codes 中每个 standard 映射到 R1-R9 类别，去重后排序。,截点前全部成熟检查对应的违章记录。,无任何历史违章记录时返回空列表 []；无法映射的 standard 记入 unmapped。,映射表在冻结知识库中固定版本，不随测试集更新。,列表长度增大表示历史涉及的风险类别种类更多。,不得解释为当前现场必然存在该类别的风险。,否（不作为M1/M2输入特征）,是（供Retrieval Agent使用）,v1.0
risk_category_counts,各风险类别计数,历史风险构成,R1-R9 各风险类别在历史违章记录中的出现次数。,"historical_standard_codes, standard_to_category_mapping",对 historical_standard_codes 中每个 standard 映射到 R1-R9 类别后，按类别计数。,截点前全部成熟检查对应的违章记录。,无任何历史违章记录时各项均为0。,映射表在冻结知识库中固定版本，不随测试集更新。,某类别的计数值增大表示历史上该类别违章出现更频繁。,不得解释为当前现场必然存在该类别的风险。,否（不作为M1/M2输入特征）,是（供Review Agent参考）,v1.0
risk_category_unmapped_rate,风险未映射比例,历史风险构成,历史OSHA标准编号中无法映射到R1-R9的比例。,"risk_category_counts, historical_standard_codes",unmapped_count / len(historical_standard_codes)，无历史标准时为0。,截点前全部成熟检查对应的违章记录。,无任何历史违章记录时填0。,映射表在冻结知识库中固定版本。,比例增大表示历史标准中未覆盖的分类越多。,未映射不代表该标准不重要，仅表示超出当前R1-R9分类范围。,否（不作为M1/M2输入特征）,是（供Audit Agent检查）,v1.0
risk_score,风险分数,模型结果,固定M2模型输出的连续风险分数。,学生4提供的M2模型输出文件（frozen_m2_model）与预处理流水线,由M2模型根据14个画像特征计算生成。,不适用（模型输出）。,不适用（模型输出）。,模型冻结后，对同一输入始终输出相同分数。,分数越高表示模型排序优先级越高。,不是真实违章概率、事故风险绝对值或执法决定。,否（模型输出，非画像输入特征）,是（供排序和Review Agent参考）,v1.0
risk_percentile,季度内排名位置,模型结果,该样本在同一季度所有候选样本中按risk_score排序的相对位置（0-1）。,"risk_score, 同一季度所有样本的risk_score",rank(risk_score) / (季度样本总数 - 1) 或等效百分位定义。,不适用（模型输出）。,不适用（模型输出）。,模型冻结后，对同一输入始终输出相同百分位。,百分位越接近1表示在当季度候选中的优先级越高。,不得解释为绝对安全排名或执法优先级指令。,否（模型输出，非画像输入特征）,是（供排序和Review Agent参考）,v1.0
model_version,模型版本,模型结果,M2模型的版本标识符，用于追踪模型变更。,学生4的模型注册表（risk_model_registry.yaml）,直接读取 frozen_m2_model 的版本号。,不适用（元数据）。,不适用（元数据）。,冻结后固定。,仅用于可复现性追踪。,不是模型性能指标，不得解释为模型好坏。,否（元数据）,是（供Audit Agent记录）,v1.0
score_evidence,分数来源,模型结果,M2模型文件和预处理流水线的SHA-256校验值，用于可复现性验证。,学生4的模型注册表（risk_model_registry.yaml）,直接读取 frozen_m2_model 和 frozen_preprocessor 的文件哈希值。,不适用（元数据）。,不适用（元数据）。,冻结后固定。,仅用于可复现性验证。,不是模型性能指标，不得解释为模型好坏。,否（元数据）,是（供Audit Agent记录）,v1.0
no_history_flag,无成熟历史标记,数据质量标记,标记该季度样本在截点前没有任何成熟历史检查。,"history_inspections, no_history_flag",history_inspections == 0 时置1，否则置0。,不适用（派生标记）。,始终可计算，无缺失。,与history_inspections同一时间计算。,不适用（二元标记）。,不得用作风险概率或安全结论。,否（不作为M1/M2输入特征）,是（供Audit Agent和人工复核参考）,v1.0
no_positive_history_flag,无成熟违章历史标记,数据质量标记,标记该季度样本在截点前有成熟历史检查但没有任何一次签发了违章记录。,"history_positive_inspections, history_inspections, no_positive_history_flag",history_inspections > 0 且 history_positive_inspections == 0 时置1，否则置0。,不适用（派生标记）。,始终可计算，无缺失。,与history_positive_inspections同一时间计算。,不适用（二元标记）。,不得解释为该单位"安全"或"无隐患"。,否（不作为M1/M2输入特征）,是（供Audit Agent和人工复核参考）,v1.0
missing_last_inspection_flag,最近检查日期缺失标记,数据质量标记,标记因数据问题无法确定最近一次成熟检查日期的样本。,"days_since_last_inspection, missing_last_inspection_flag",days_since_last_inspection 为缺失值时置1，否则置0。,不适用（派生标记）。,始终可计算，无缺失。,与days_since_last_inspection同一时间计算。,不适用（二元标记）。,不得解释为风险信息。,否（不作为M1/M2输入特征）,是（供Audit Agent和人工复核参考）,v1.0
missing_last_positive_flag,最近违章日期缺失标记,数据质量标记,标记因数据问题无法确定最近一次成熟阳性检查日期的样本。,"days_since_last_positive, missing_last_positive_flag",days_since_last_positive 为缺失值时置1，否则置0。,不适用（派生标记）。,始终可计算，无缺失。,与days_since_last_positive同一时间计算。,不适用（二元标记）。,不得解释为风险信息。,否（不作为M1/M2输入特征）,是（供Audit Agent和人工复核参考）,v1.0
entity_match_uncertain_flag,实体匹配不确定标记,数据质量标记,标记该代理实体的单位匹配在阶段3盲审中被判定为存在不确定性。,阶段3 entity_review_final.csv 中的 uncertainty_judgment,直接读取 entity_review_final.csv 中的 entity_match_uncertain_flag 字段。,不适用（来自外部判断）。,无盲审结果时默认填0；人工判定结果由学生1提供。,阶段3完成后即确定，不随画像计算变化。,不适用（二元标记）。,不得自动用于风险加权或作为风险证据。,否（不作为M1/M2输入特征）,是（供Audit Agent和人工复核参考）,v1.0
insufficient_evidence_flag,可用依据不足标记,数据质量标记,汇总标记，表示该样本整体证据质量不足，建议转人工。,"no_history_flag, no_positive_history_flag, missing_last_inspection_flag, missing_last_positive_flag, entity_match_uncertain_flag, risk_category_unmapped_rate",当任一核心标记为1或 unmapped_rate > 阈值（阈值待定）时置1。具体规则在 config.yaml 中定义。,不适用（派生汇总标记）。,始终可计算，无缺失。,与各子标记同一时间计算。,不适用（二元标记）。,不得解释为风险高低的结论。,否（不作为M1/M2输入特征）,是（供Audit Agent作为停止/转人工依据）,v1.0
profile_version,画像版本,元数据,生成该画像时所使用的 manifest 版本标识符。,profile_definition_manifest.json 中的 freeze_ref。,直接读取 freeze_ref 字段。,不适用（元数据）。,始终可读，无缺失。,画像生成时固定。,仅用于版本追踪。,不得用于任何风险相关判断。,否（元数据）,是（供Audit Agent记录）,v1.0
